NAME,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"CEDAR CITY 1.8 S, UT US",,,,,,,,,,,,,,,,,1.0,3.0,4.0,2.0,4.0,5.0,2.0,1.0,3.0,5.0,2.0,,,,
"CEDAR CITY 18 SSE, UT US",,,,,,,,,,,,,,,,,,,5.0,12.0,12.0,12.0,5.0,,,,,,,,
"CEDAR CITY 4.4 SW, UT US",,,,,,,,,,,,,,,,,,,,,,,,,7.0,11.0,12.0,12.0,12.0,12.0,12.0
"CEDAR CITY 5 E, UT US",9.0,12.0,7.0,12.0,12.0,12.0,11.0,11.0,6.0,6.0,8.0,11.0,11.0,12.0,12.0,11.0,12.0,12.0,12.0,5.0,8.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"CEDAR CITY 5.6 NW, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,8.0,12.0,11.0,11.0
"CEDAR CITY 6.2 NNW, UT US",,,,,,,,,,,,,,,,,4.0,7.0,10.0,10.0,10.0,12.0,7.0,,,,,,,,
"CEDAR CITY AIRPORT, UT US",12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"CEDAR CITY, UT US",,,,,,,,,10.0,12.0,11.0,10.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,7.0,9.0,12.0,12.0,11.0,9.0,8.0,5.0,6.0,9.0,9.0,12.0
"CEDAR MOUNTAINS STOCKTON 24 W, UT US",0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CEDAR POINT, UT US",12.0,12.0,12.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,2.0,,,,
"CEDAR VALLEY 1.9 S, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,12.0,12.0,12.0
"CENTERVILLE 0.8 NE, UT US",,,,,,,,,,,,,,,,,5.0,12.0,12.0,12.0,12.0,12.0,8.0,,9.0,11.0,11.0,11.0,1.0,,
"CENTERVILLE 1.3 N, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0
"CHALK CREEK NUMBER 1, UT US",12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0
"CHALK CREEK NUMBER 2, UT US",12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"CHEPETA UTAH, UT US",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CHEPETA, UT US",12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"CIRCLEVILLE 0.7 W, UT US",,,,,,,,,,,,,,,,,,1.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,,
"CIRCLEVILLE, UT US",12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,10.0,9.0,10.0,9.0,2.0,,,,,,,,,,,,
"CITY CREEK WATER PLANT, UT US",12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,12.0,12.0,9.0,8.0,12.0,12.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0
"CLARKSTON 0.5 SW, UT US",,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,12.0,12.0,12.0
"CLAYTON SPRINGS, UT US",,,,,,,,,3.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"CLEAR CREEK NUMBER 1, UT US",12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
